Product ID,Product Category,Product Subcategory,Product Name,Product Description, Product Price ,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1025,Touring Bikes,,Adventurer 1000,Durable bike for long adventures," $1,500 ",28,M,2025,3025,25/03/2023,Processing,2,3000,PayPal
1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike," $1,800 ",26,L,2026,3026,26/03/2023,Shipped,1,1800,Credit Card
1083,Road Bikes,Aero,AeroSpeed 1000,Aerodynamic road bike," $2,800 ",18,M,2083,3083,21/02/2023,Cancelled,3,8400,Credit Card
1084,Road Bikes,Aero,AeroSpeed 2000,Advanced aerodynamic road bike," $3,200 ",16,L,2084,3084,22/02/2023,Shipped,1,3200,Credit Card
1081,Hybrid Bikes,Commuter,CommutePro 1000,Efficient commuter hybrid bike," $1,200 ",27,M,2081,3081,19/02/2023,Shipped,2,2400,Credit Card
1082,Hybrid Bikes,Commuter,CommutePro 2000,High-performance commuter hybrid bike," $1,500 ",25,L,2082,3082,20/02/2023,Processing,1,1500,PayPal
1043,Road Bikes,Cyclocross,CrossRider 1000,Versatile cyclocross bike," $1,900 ",21,M,2043,3043,13/03/2023,Cancelled,3,5700,Credit Card
1044,Road Bikes,Cyclocross,CrossRider 2000,Advanced cyclocross bike," $2,200 ",19,L,2044,3044,14/03/2023,Shipped,1,2200,Credit Card
1087,Mountain Bikes,Downhill,DownhillDominator 1000,Downhill mountain bike," $2,900 ",34,M,2087,3087,25/02/2023,Shipped,2,5800,PayPal
1088,Mountain Bikes,Downhill,DownhillDominator 2000,High-performance downhill mountain bike," $3,300 ",32,L,2088,3088,26/02/2023,Processing,1,3300,PayPal
1045,Touring Bikes,Tandem,DuoExplorer 1000,Comfortable tandem touring bike," $2,000 ",36,M,2045,3045,15/03/2023,Processing,2,4000,PayPal
1046,Touring Bikes,Tandem,DuoExplorer 2000,High-performance tandem touring bike," $2,300 ",34,L,2046,3046,16/03/2023,Shipped,1,2300,Credit Card
1047,Mountain Bikes,Electric,E-Mountain 1000,Electric mountain bike," $3,000 ",40,M,2047,3047,17/03/2023,Shipped,2,6000,PayPal
1048,Mountain Bikes,Electric,E-Mountain 2000,High-performance electric mountain bike," $3,500 ",38,L,2048,3048,18/03/2023,Processing,1,3500,Credit Card
1107,Road Bikes,Endurance,EnduranceElite 1000,Endurance road bike," $2,100 ",20,M,2107,3107,07/02/2023,Shipped,2,4200,PayPal
1108,Road Bikes,Endurance,EnduranceElite 2000,High-performance endurance road bike," $2,600 ",18,L,2108,3108,08/02/2023,Processing,1,2600,Credit Card
1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike," $2,300 ",30,S,2027,3027,27/03/2023,Shipped,2,4600,PayPal
1028,Mountain Bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike," $2,600 ",28,L,2028,3028,28/03/2023,Processing,1,2600,Credit Card
1067,E-Bikes,Mountain,E-TrailBlazer 1000,Electric mountain bike," $3,200 ",42,M,2067,3067,07/03/2023,Shipped,2,6400,PayPal
1068,E-Bikes,Mountain,E-TrailBlazer 2000,High-performance electric mountain bike," $3,700 ",40,L,2068,3068,08/03/2023,Processing,1,3700,Credit Card
1005,Touring Bikes,Long Distance,Explorer 1000,Comfortable and durable touring bike," $1,300 ",27,M,2005,3005,05/03/2023,Processing,2,2600,PayPal
